,cameraid,last_captured
0,3,2018-06-25 14:43:32
1,20,2018-06-25 14:43:32
2,29,2018-06-25 14:43:32
3,30,2018-06-25 14:43:32
4,34,2018-06-25 14:43:38
5,40,2018-06-25 14:43:33
6,46,2018-06-25 14:43:33
7,48,2018-06-25 14:43:33
8,59,2018-06-25 14:43:33
9,62,2018-06-25 14:43:33
10,65,2018-06-25 14:43:34
11,67,2018-06-25 14:43:34
12,71,2018-06-25 14:43:34
13,74,2018-06-25 14:43:35
14,79,2018-06-25 14:43:34
15,90,2018-06-25 14:43:35
16,91,2018-06-25 14:43:35
17,105,2018-06-25 14:43:38
18,107,2018-06-25 14:43:36
19,112,2018-06-25 14:43:36
20,115,2018-06-25 14:43:36
21,117,2018-06-25 14:43:37
22,119,2018-06-25 14:43:36
23,151,2018-06-25 14:43:38
24,157,2018-06-25 14:43:39
25,159,2018-06-25 14:43:39
26,164,2018-06-25 14:43:39
27,167,2018-06-25 14:43:39
28,170,2018-06-25 14:43:39
